
/* 
3D_Model_Index Pos_X Pos_Y Pos_Z Scale_X Scale_Y Scale_Z Rotate_X Rotate_Y Rotate_Z 
*/

complete transformation

0 0.000 0.000 0 1 1 0.8 0 0 0
0 0.000 0.130 0 1 1 0.8 0 0 0
0 0.000 0.260 0 1 1 0.8 0 0 0
0 0.000 0.390 0 1 1 0.8 0 0 0
0 0.000 0.520 0 1 1 0.8 0 0 0
0 0.000 0.650 0 1 1 0.8 0 0 0
0 0.000 0.780 0 1 1 0.8 0 0 0
0 0.000 0.910 0 1 1 0.8 0 0 0
0 0.000 1.040 0 1 1 0.8 0 0 0
0 0.000 1.170 0 1 1 0.8 0 0 0
0 0.000 1.300 0 1 1 0.8 0 0 0
0 0.000 1.430 0 1 1 0.8 0 0 0
0 0.000 1.560 0 1 1 0.8 0 0 0
0 0.000 1.690 0 1 1 0.8 0 0 0
0 0.000 1.820 0 1 1 0.8 0 0 0
0 0.000 1.950 0 1 1 0.8 0 0 0
0 0.000 2.080 0 1 1 0.8 0 0 0
0 0.000 2.210 0 1 1 0.8 0 0 0
0 0.000 2.340 0 1 1 0.8 0 0 0
0 0.000 2.470 0 1 1 0.8 0 0 0
0 0.000 2.600 0 1 1 0.8 0 0 0
0 0.000 2.730 0 1 1 0.8 0 0 0
0 0.000 2.860 0 1 1 0.8 0 0 0
0 0.000 2.990 0 1 1 0.8 0 0 0
0 0.000 3.120 0 1 1 0.8 0 0 0
0 0.000 3.250 0 1 1 0.8 0 0 0
0 0.000 3.380 0 1 1 0.8 0 0 0
0 0.000 3.510 0 1 1 0.8 0 0 0
0 0.000 3.640 0 1 1 0.8 0 0 0
0 0.000 3.770 0 1 1 0.8 0 0 0
0 0.000 3.900 0 1 1 0.8 0 0 0
0 0.000 4.030 0 1 1 0.8 0 0 0
0 0.000 4.160 0 1 1 0.8 0 0 0
0 0.000 4.290 0 1 1 0.8 0 0 0
0 0.000 4.420 0 1 1 0.8 0 0 0
0 0.000 4.550 0 1 1 0.8 0 0 0
0 0.000 4.680 0 1 1 0.8 0 0 0
0 0.000 4.810 0 1 1 0.8 0 0 0
0 0.000 4.940 0 1 1 0.8 0 0 0
0 0.000 5.070 0 1 1 0.8 0 0 0
0 0.000 5.200 0 1 1 0.8 0 0 0
0 0.000 5.330 0 1 1 0.8 0 0 0
0 0.000 5.460 0 1 1 0.8 0 0 0
0 0.000 5.590 0 1 1 0.8 0 0 0
0 0.000 5.720 0 1 1 0.8 0 0 0
0 0.000 5.850 0 1 1 0.8 0 0 0
0 0.000 5.980 0 1 1 0.8 0 0 0
0 0.000 6.110 0 1 1 0.8 0 0 0
0 0.000 6.240 0 1 1 0.8 0 0 0
0 0.000 6.370 0 1 1 0.8 0 0 0
0 0.000 6.500 0 1 1 0.8 0 0 0
0 0.000 6.630 0 1 1 0.8 0 0 0
0 0.000 6.760 0 1 1 0.8 0 0 0
0 0.000 6.890 0 1 1 0.8 0 0 0
0 0.000 7.020 0 1 1 0.8 0 0 0
0 0.000 7.150 0 1 1 0.8 0 0 0
0 0.000 7.280 0 1 1 0.8 0 0 0
0 0.000 7.410 0 1 1 0.8 0 0 0
